sno,question,option1,option2,option3,option4,,ans
1,What is an abstract class?,An abstract class is a name for any class from which you can instantiate an object.,Abstract classes must be redefined any time an object is instantiated from them,Abstract classes must inherit from concrete classes.,"An abstract class exists only so that other ""concrete"" classes can inherit from the abstract class.",,D
2,"What happens when you use the build-in function ""any()"" on a list?","The ""any()"" function will randomly return any item from the list.","The ""any()"" function returns True if any item in the list evaluates to True. Otherwise, it returns False.","The ""any()"" function takes as arguments the list to check inside, and the item to check for. If ""any"" of the items in the list match the item to check for, the function returns True.","The ""any()"" function returns a Boolean value that answers the question ""Are there any items in this list?""",,B
3,What data structure does a binary tree degenerate to if it isn''t balanced properly?,linked list,queue,set,OrderedDict,,A
4,What is a static method?,"Static methods are called static because they always return ""None"".",Static methods can be bound to either a class or an instance of a class.,They serve mostly as utility methods or helper methods since they can''t access or modify a class''s state.,Static methods can access and modify the state of a class or an instance of a class.,,C
5,What are attributes?,"Attributes are long-form version of an ""if/else"" statement, used when testing for equality between objects.",Attributes are a way to hold data or describe a state for a class or an instance of a class.,Attributes are strings that describe characteristics of a class.,"Function arguments are called ""attributes"" in the context of class methods and instance methods.",,D
6,"What is the term to describe this code?
count, fruit, price = (2, ''apple'', 3.5)",tuple assignment,tuple unpacking,tuple matching,tuple duplication,,B
7,What built-in list method would you use to remove items from a list?,""".delete()"" method",pop(my_list),del(my_list),""".pop()"" method",,D
8,What is one of the most common use of Python''s sys library?,to capture command-line arguments given at a file''s runtime,"to connect varios systems, such as connecting a web front end, an API service, a database, and a mobile app",to take a snapshot of all the packages and libraries in your virtual environment,to scan the health of your Python ecosystem while inside a virtual environment,,A
9,What is the runtime of accessing a value in a dictionary by using its key?,"""O(n)"", also called linear time","""O(log n)"", also called logarithmic time","""O(n^2)"", also called quadratic time","""O(1)"", also called constant time",,D
10,What is the correct syntax for defining a class called Game?,class Game: pass,def Game(): pass,def Game: pass,class Game(): pass,,A
11,What buit-in Python data type is commonly used to represent a stack?,set,list,None. You can only build a stack from scratch.,dictionary,,B
12,"What is the correct syntax for defining a class called ""Game"", if it inherits from a parent class called ""LogicGame""?",class Game.LogicGame(): pass,def Game(LogicGame): pass,class Game(LogicGame): pass,def Game.LogicGame(): pass,,C
13,"What is the purpose of the ""self"" keyword when defining or calling instance methods?",self means that no other arguments are required to be passed into the method,"There is no real purpose for the self method; it""s just historic computer science jargona that Python keeps to stay consistent with other programming languages",self refers to the instance whose method was called,self refers to the class that was inherited from to create the object using self,,C
14,Which of these is NOT a characteristic of namedtuples?,"You can assign a name to each of the namedtuple members and refer to them that way, similarly to how you would access keys in dictionary","Each member of a namedtuple object can be indexed to directly, just like in a regular tuple",namedtuples are just as memory efficient as regular tuples,No import is needed to use namedtuples because they are available in the standard library,,D
15,What is an instance method?,Instance methods can modify the state of an instance or the state of its parent class,Instance methods hold data related to the instance,"An instance method is any class method that doesn""t take any arguments","An instance method is a regular function that belongs to a class, but it must return None",,A
16,Which statement does NOT describe the object-oriented programming concept of encapsulation?,It protects the data from outside interference,A parent class is encapsulated and no data from the parent class passes on to the child class,It keeps data and the methods that can manipulate that data in one place,It only allows the data to be changed by methods,,D
17,What is the purpose of an if/else statement?,An if/else statement tells the computer which chunk of code to run if the instructions you coded are incorrect,"An if/else statement runs one chunk of code if all the imports were succesful, and another chunk of code if the imports were not succesful","An if/else statement executes one chunk of code if a condition it true, but a different chunk of code if the condition is false",An if/else statement tells the computer which chunk of code to run if the is enough memory to handle it. and which chunk of code to run if there is not enough memory to handle it,,C
18,What buit-in Python data type is commonly used to represent a queue?,dictionary, set,None. You can only build a stack from scratch.,list,,D
19,What is the correct syntax for instantiating a new object of the type Game?,my_game = class.Game(),my_game = class(Game),my_game = Game(),my_game = Game(),,D
20,What does the built-in map() function do?,It creates a path from multiple values in an iterable to a single value.,It applies a function to each item in an iterable and returns the value of that function.,It converts a complex value type into simpler value types.,It creates a mapping between two different elements of different iterables.,,B
21,"If you don''t explicitly return a value from a function, what happens?",The function will return a RuntimeError if you don''t return a value.,"If the return keyword is absent, the function will return None.","If the return keyword is absent, the function will return True.",The function will enter an infinite loop because it won''t know when to stop executing its code.,,B
22,What is the purpose of the pass statement in Python?,It is used to skip the yield statement of a generator and return a value of None.,"It is a null operation used mainly as a placeholder in functions, classes, etc.",It is used to pass control from one statement block to another.,It is used to skip the rest of a while or for loop and return to the start of the loop.,,B
23,What is the term used to describe items that may be passed into a function?,arguments,paradigms,attributes,decorators,,A
24,Which collection type is used to associate values with unique keys?,slot,dictionary,queue,sorted list,,B
25,When does a for loop stop iterating?,when it encounters an infinite loop,when it encounters an if/else statement that contains a break keyword,when it has assessed each item in the iterable it is working on or a break keyword is encountered,when the runtime for the loop exceeds O(n^2),,C
26,What is the algorithmic paradigm of quick sort?,backtracking,dynamic programming,decrease and conquer,divide and conquer,,D
27,What is runtime complexity of the list''s built-in .append() method?,"O(1), also called constant time","O(log n), also called logarithmic time","O(n^2), also called quardratic time","O(n), also called linear time",,A
28,What is key difference between a set and a list?,A set is an ordered collection unique items. A list is an unordered collection of non-unique items.,Elements can be retrieved from a list but they cannot be retrieved from a set,A set is an ordered collection of non-unique items. A list is an unordered collection of unique items.,A set is an unordered collection unique items. A list is an ordered collection of non-unique items.,,D
29,What is the definition of abstraction as applied to object-oriented Python?,"Abstraction means that a different style of code can be used, since many details are already known to the program behind the scenes.","Abstraction means the implementation is hidden from the user, and only the relevant data or information is shown.",Abstraction means that the data and the functionality of a class are combined into one entity.,Abstraction means that a class can inherit from more than one parent class.,,B
30,Suppose a Game class inherits from two parent classes: BoardGame and LogicGame. Which statement is true about the methods of an object instantiated from the Game class?,"When instantiating an object, the object doesn''t inherit any of the parent class''s methods.","When instantiating an object, the object will inherit the methods of whichever parent class has more methods.","When instantiating an object, the programmer must specify which parent class to inherit methods from.",An instance of the Game class will inherit whatever methods the BoardGame and LogicGame classes have.,,D
31,What does calling namedtuple on a collection type return?,a generic object class with iterable parameter fields,a generic object class with non-iterable named fields,a tuple subclass with non-iterable parameter fields,a tuple subclass with iterable named fields,,D
32,What symbol(s) do you use to assess equality between two elements?,&&,=,==,||,,C
33,What value would be returned by this check for equality? 5!=6,yes,FALSE,TRUE,None,,C
34,What does a class''s init() method do?,The __init_method makes classes aware of each other if more than one class is defined in a single code file.,"The _init_method is included to preserve backward compatibility from Python 3 to Python 2, but no longer needs to be used in Python 3.",The __init__() method is a constructor method that is called automatically whenever a new object is created from a class. It sets the initial state of a new object.,The __init__ method initializes any imports you may have included at the top of your file.,,C
35,"What is meant by the phrase ""space complexity""?",How many microprocessors it would take to run your code in less than one second,How many lines of code are in your code file,The amount of space taken up in memory as a function of the input size,How many copies of the code file could fit in 1 GB of memory,,C
36,What is the correct syntax for creating a variable that is bound to a dictionary?,"fruit_info = {''fruit'': ''apple'', ''count'': 2, ''price'': 3.5}","fruit_info =(''fruit'': ''apple'', ''count'': 2,''price'': 3.5 ).dict()","fruit_info = [''fruit'': ''apple'', ''count'': 2,''price'': 3.5 ].dict()","fruit_info = to_dict(''fruit'': ''apple'', ''count'': 2, ''price'': 3.5)",,A
37,What is the algorithmic paradigm of quick sort?,backtracking,divide and conquer,dynamic programming,decrease and conquer,,B
38,What is the purpose of the self keyword when defining or calling methods on an instance of an object?,self refers to the class that was inherited from to create the object using self.,There is no real purpose for the self method. It''s just legacy computer science jargon that Python keeps to stay consistent with other programming languages.,self means that no other arguments are required to be passed into the method.,self refers to the instance whose method was called.,,D
39,What is a class method?,"A class method is a regular function that belongs to a class, but it must return None.","Class methods can modify the state of the class, but they can''t directly modify the state of an instance that inherits from that class.","A class method is similar to a regular function, but a class method doesn''t take any arguments.",Class methods hold all of the data for a particular class.,,B
40,What does it mean for a function to have linear runtime?,You did not use very many advanced computer programming concepts in your code.,The difficulty level your code is written at is not that high.,It will take your program less than half a second to run.,The amount of time it takes the function to complete grows linearly as the input size increases.,,D
41,What is the proper way to define a function?,def getMaxNum(list_of_nums): # body of function goes here,func get_max_num(list_of_nums): # body of function goes here,func getMaxNum(list_of_nums): # body of function goes here,def get_max_num(list_of_nums): # body of function goes here explanation,,D
42,"According to the PEP 8 coding style guidelines, how should constant values be named in Python?",in camel case without using underscores to separate words -- e.g. maxValue = 255,in lowercase with underscores to separate words -- e.g. max_value = 255,in all caps with underscores separating words -- e.g. MAX_VALUE = 255,in mixed case without using underscores to separate words -- e.g. MaxValue = 255,,C
43,Describe the functionality of a deque,A deque adds items to one side and remove items from the other side.,"A deque adds items to either or both sides, but only removes items from the top.","A deque adds items at either or both ends, and remove items at either or both ends.","A deque adds items only to the top, but remove from either or both sides.",,C
44,What is the correct syntax for creating a variable that is bound to a set?,"myset = {0, ''apple'', 3.5}","myset = to_set(0, ''apple'', 3.5)","myset = (0, ''apple'', 3.5).to_set()","myset = (0, ''apple'', 3.5).set()",,A
45,Which statement about the class methods is true?,A class method holds all of the data for a particular class.,"A class method can modify the state of the class, but it cannot directly modify the state of an instance that inherits from that class.","A class method is a regular function that belongs to a class, but it must return None","A class method is similar to a regular function, but a class method does not take any arguments.",,B
46,What is the runtime of accessing a value in a dictionary by using its key?,"""O(n)"", also called linear time","""O(log n)"", also called logarithmic time","""O(n^2)"", also called quadratic time","""O(1)"", also called constant time",,D
47,What is a static method?,"Static methods are called static because they always return ""None"".",Static methods can be bound to either a class or an instance of a class.,They serve mostly as utility methods or helper methods since they can''t access or modify a class''s state.,Static methods can access and modify the state of a class or an instance of a class.,,C
48,What is an instance method?,Instance methods can modify the state of an instance or the state of its parent class,Instance methods hold data related to the instance,"An instance method is any class method that doesn""t take any arguments","An instance method is a regular function that belongs to a class, but it must return None",,A
49,What is the proper way to define a function?,def getMaxNum(list_of_nums): # body of function goes here,func get_max_num(list_of_nums): # body of function goes here,func getMaxNum(list_of_nums): # body of function goes here,def get_max_num(list_of_nums): # body of function goes here explanation,,D
50,What is key difference between a set and a list?,A set is an ordered collection unique items. A list is an unordered collection of non-unique items.,Elements can be retrieved from a list but they cannot be retrieved from a set,A set is an ordered collection of non-unique items. A list is an unordered collection of unique items.,A set is an unordered collection unique items. A list is an ordered collection of non-unique items.,,D
